prompt_id,category,chatgpt,gemini,delta_gemini_minus_chatgpt
bind_001,binding,1.0,1.0,0.0
bind_002,binding,1.0,1.0,0.0
bind_003,binding,0.6,0.6,0.0
bind_004,binding,1.0,1.0,0.0
bind_005,binding,0.8000000000000002,0.8000000000000002,0.0
bind_007,binding,1.0,1.0,0.0
bind_008,binding,1.0,1.0,0.0
bind_009,binding,1.0,1.0,0.0
count_003,count,1.0,1.0,0.0
bind_010,binding,1.0,1.0,0.0
count_001,count,1.0,1.0,0.0
count_002,count,1.0,1.0,0.0
count_005,count,1.0,1.0,0.0
count_004,count,1.0,1.0,0.0
count_006,count,1.0,1.0,0.0
count_007,count,1.0,1.0,0.0
spatial_005,spatial,1.0,1.0,0.0
count_008,count,1.0,1.0,0.0
count_009,count,1.0,1.0,0.0
count_010,count,1.0,1.0,0.0
spatial_001,spatial,1.0,1.0,0.0
spatial_002,spatial,1.0,1.0,0.0
spatial_003,spatial,1.0,1.0,0.0
spatial_004,spatial,1.0,1.0,0.0
spatial_009,spatial,1.0,1.0,0.0
spatial_006,spatial,1.0,1.0,0.0
spatial_007,spatial,1.0,1.0,0.0
spatial_008,spatial,1.0,1.0,0.0
typ_001,typography,1.0,1.0,0.0
spatial_010,spatial,1.0,1.0,0.0
typ_002,typography,1.0,1.0,0.0
typ_003,typography,0.5,0.5,0.0
typ_007,typography,1.0,1.0,0.0
typ_004,typography,1.0,1.0,0.0
typ_005,typography,1.0,1.0,0.0
typ_006,typography,0.5,0.5,0.0
typ_009,typography,1.0,1.0,0.0
typ_008,typography,1.0,1.0,0.0
typ_010,typography,1.0,1.0,0.0
bind_006,binding,0.6,1.0,0.4
