provider,prompt_id,category,mean_score,std_score,n_samples
chatgpt,bind_001,binding,1.0,0.0,3
chatgpt,bind_002,binding,1.0,0.0,3
chatgpt,bind_003,binding,1.0,0.0,3
chatgpt,bind_004,binding,1.0,0.0,3
chatgpt,bind_005,binding,1.0,0.0,3
chatgpt,bind_006,binding,1.0,0.0,3
chatgpt,bind_007,binding,1.0,0.0,3
chatgpt,bind_008,binding,1.0,0.0,3
chatgpt,bind_009,binding,1.0,0.0,3
chatgpt,bind_010,binding,1.0,0.0,3
chatgpt,count_001,count,1.0,0.0,3
chatgpt,count_002,count,1.0,0.0,3
chatgpt,count_003,count,1.0,0.0,3
chatgpt,count_004,count,0.9444333333333333,0.09624428987391062,3
chatgpt,count_005,count,1.0,0.0,3
chatgpt,count_006,count,1.0,0.0,3
chatgpt,count_007,count,1.0,0.0,3
chatgpt,count_008,count,1.0,0.0,3
chatgpt,count_009,count,1.0,0.0,3
chatgpt,count_010,count,1.0,0.0,3
chatgpt,spatial_001,spatial,1.0,0.0,3
chatgpt,spatial_002,spatial,1.0,0.0,3
chatgpt,spatial_003,spatial,1.0,0.0,3
chatgpt,spatial_004,spatial,1.0,0.0,3
chatgpt,spatial_005,spatial,1.0,0.0,3
chatgpt,spatial_006,spatial,1.0,0.0,3
chatgpt,spatial_007,spatial,1.0,0.0,3
chatgpt,spatial_008,spatial,1.0,0.0,3
chatgpt,spatial_009,spatial,1.0,0.0,3
chatgpt,spatial_010,spatial,1.0,0.0,3
chatgpt,typ_001,typography,1.0,0.0,3
chatgpt,typ_002,typography,1.0,0.0,3
chatgpt,typ_003,typography,0.7333333333333334,0.46188021535170054,3
chatgpt,typ_004,typography,1.0,0.0,3
chatgpt,typ_005,typography,0.9166666666666666,0.14433756729740646,3
chatgpt,typ_006,typography,1.0,0.0,3
chatgpt,typ_007,typography,1.0,0.0,3
chatgpt,typ_008,typography,1.0,0.0,3
chatgpt,typ_009,typography,1.0,0.0,3
chatgpt,typ_010,typography,1.0,0.0,3
gemini,bind_001,binding,1.0,0.0,3
gemini,bind_002,binding,1.0,0.0,3
gemini,bind_003,binding,1.0,0.0,3
gemini,bind_004,binding,1.0,0.0,3
gemini,bind_005,binding,1.0,0.0,3
gemini,bind_006,binding,1.0,0.0,3
gemini,bind_007,binding,1.0,0.0,3
gemini,bind_008,binding,1.0,0.0,3
gemini,bind_009,binding,1.0,0.0,3
gemini,bind_010,binding,1.0,0.0,3
gemini,count_001,count,1.0,0.0,3
gemini,count_002,count,1.0,0.0,3
gemini,count_003,count,1.0,0.0,3
gemini,count_004,count,1.0,0.0,3
gemini,count_005,count,1.0,0.0,3
gemini,count_006,count,1.0,0.0,3
gemini,count_007,count,1.0,0.0,3
gemini,count_008,count,1.0,0.0,3
gemini,count_009,count,1.0,0.0,3
gemini,count_010,count,1.0,0.0,3
gemini,spatial_001,spatial,1.0,0.0,3
gemini,spatial_002,spatial,1.0,0.0,3
gemini,spatial_003,spatial,1.0,0.0,3
gemini,spatial_004,spatial,1.0,0.0,3
gemini,spatial_005,spatial,1.0,0.0,3
gemini,spatial_006,spatial,1.0,0.0,3
gemini,spatial_007,spatial,1.0,0.0,3
gemini,spatial_008,spatial,1.0,0.0,3
gemini,spatial_009,spatial,1.0,0.0,3
gemini,spatial_010,spatial,1.0,0.0,3
gemini,typ_001,typography,0.7333333333333334,0.46188021535170065,3
gemini,typ_002,typography,1.0,0.0,3
gemini,typ_003,typography,0.4666666666666666,0.4618802153517006,3
gemini,typ_004,typography,1.0,0.0,3
gemini,typ_005,typography,0.75,0.0,3
gemini,typ_006,typography,1.0,0.0,3
gemini,typ_007,typography,1.0,0.0,3
gemini,typ_008,typography,1.0,0.0,3
gemini,typ_009,typography,1.0,0.0,3
gemini,typ_010,typography,1.0,0.0,3
