model,prompt_id,sample_id,image_path,ocr_text,targets,ocr_score_avg,ocr_score_min,ocr_found_all,ocr_found_count,ocr_target_count,target_1_text,target_1_score,target_1_found,target_2_text,target_2_score,target_2_found
gemini,typ_001,1,runs\2026-02-12_core40_k3_1024\images\gemini\typ_001__s1.png,MIDNIGHT RAMEN OPEN 10 PM- 3 AM I) ‘A ©,MIDNIGHT RAMEN | Open 10 PM – 3 AM,97.05882352941177,94.11764705882352,True,2,2,MIDNIGHT RAMEN,100.0,True,Open 10 PM – 3 AM,94.11764705882352,True
gemini,typ_001,2,runs\2026-02-12_core40_k3_1024\images\gemini\typ_001__s2.png,MIDNIGHT RAMEN OPEN 10 PM - 3 AM,MIDNIGHT RAMEN | Open 10 PM – 3 AM,100.0,100.0,True,2,2,MIDNIGHT RAMEN,100.0,True,Open 10 PM – 3 AM,100.0,True
gemini,typ_001,3,runs\2026-02-12_core40_k3_1024\images\gemini\typ_001__s3.png,MIDNIGHT RAMEN OPEN 10 PM - 3 AM,MIDNIGHT RAMEN | Open 10 PM – 3 AM,100.0,100.0,True,2,2,MIDNIGHT RAMEN,100.0,True,Open 10 PM – 3 AM,100.0,True
gemini,typ_002,1,runs\2026-02-12_core40_k3_1024\images\gemini\typ_002__s1.png,% ES IE DRIP COFFEE \,DRIP COFFEE | $3.50,50.0,0.0,False,1,2,DRIP COFFEE,100.0,True,$3.50,0.0,False
gemini,typ_002,2,runs\2026-02-12_core40_k3_1024\images\gemini\typ_002__s2.png,DRIP COFFEE $3.50,DRIP COFFEE | $3.50,100.0,100.0,True,2,2,DRIP COFFEE,100.0,True,$3.50,100.0,True
gemini,typ_002,3,runs\2026-02-12_core40_k3_1024\images\gemini\typ_002__s3.png,DRIP COFFEE |},DRIP COFFEE | $3.50,50.0,0.0,False,1,2,DRIP COFFEE,100.0,True,$3.50,0.0,False
gemini,typ_003,1,runs\2026-02-12_core40_k3_1024\images\gemini\typ_003__s1.png,CAUTION: HOT SURFACE,CAUTION: HOT SURFACE,100.0,100.0,True,1,1,CAUTION: HOT SURFACE,100.0,True,,,
gemini,typ_003,2,runs\2026-02-12_core40_k3_1024\images\gemini\typ_003__s2.png,CAUTION: HOT SURFACE,CAUTION: HOT SURFACE,100.0,100.0,True,1,1,CAUTION: HOT SURFACE,100.0,True,,,
gemini,typ_003,3,runs\2026-02-12_core40_k3_1024\images\gemini\typ_003__s3.png,CAUTION: HOT SURFACE,CAUTION: HOT SURFACE,100.0,100.0,True,1,1,CAUTION: HOT SURFACE,100.0,True,,,
gemini,typ_004,1,runs\2026-02-12_core40_k3_1024\images\gemini\typ_004__s1.png,NEON CITY A NIGHT TO REMEMBE WS ».,NEON CITY | A NIGHT TO REMEMBER,97.36842105263159,94.73684210526316,True,2,2,NEON CITY,100.0,True,A NIGHT TO REMEMBER,94.73684210526316,True
