run_dir,provider,prompt_id,category,sample,image_path,quality_score,subject_clarity,composition,technical,aesthetic,coherence,parse_error,raw_response
runs/2026-02-12_core40_k3_1024,gemini,bind_001,binding,1,runs/2026-02-12_core40_k3_1024/images/gemini/bind_001__s1.png,1.0,5,5,5,5,5,0,"r 5.
  - Be critical: reserve 5 for genuinely outstanding quality.
  - Output ONLY the JSON below, no other text.

JSON schema:
{""subject_clarity"": ""integer 1-5"", ""composition"": ""integer 1-5"", ""technical"": ""integer 1-5"", ""aesthetic"": ""integer 1-5"", ""coherence"": ""integer 1-5""}

assistant
```json
{
  ""subject_clarity"": 5,
  ""composition"": 5,
  ""technical"": 5,
  ""aesthetic"": 5,
  ""coherence"": 5
}
```"
runs/2026-02-12_core40_k3_1024,gemini,bind_001,binding,2,runs/2026-02-12_core40_k3_1024/images/gemini/bind_001__s2.png,1.0,5,5,5,5,5,0,"r 5.
  - Be critical: reserve 5 for genuinely outstanding quality.
  - Output ONLY the JSON below, no other text.

JSON schema:
{""subject_clarity"": ""integer 1-5"", ""composition"": ""integer 1-5"", ""technical"": ""integer 1-5"", ""aesthetic"": ""integer 1-5"", ""coherence"": ""integer 1-5""}

assistant
```json
{
  ""subject_clarity"": 5,
  ""composition"": 5,
  ""technical"": 5,
  ""aesthetic"": 5,
  ""coherence"": 5
}
```"
runs/2026-02-12_core40_k3_1024,gemini,bind_001,binding,3,runs/2026-02-12_core40_k3_1024/images/gemini/bind_001__s3.png,1.0,5,5,5,5,5,0,"r 5.
  - Be critical: reserve 5 for genuinely outstanding quality.
  - Output ONLY the JSON below, no other text.

JSON schema:
{""subject_clarity"": ""integer 1-5"", ""composition"": ""integer 1-5"", ""technical"": ""integer 1-5"", ""aesthetic"": ""integer 1-5"", ""coherence"": ""integer 1-5""}

assistant
```json
{
  ""subject_clarity"": 5,
  ""composition"": 5,
  ""technical"": 5,
  ""aesthetic"": 5,
  ""coherence"": 5
}
```"
runs/2026-02-12_core40_k3_1024,gemini,bind_002,binding,1,runs/2026-02-12_core40_k3_1024/images/gemini/bind_002__s1.png,1.0,5,5,5,5,5,0,"r 5.
  - Be critical: reserve 5 for genuinely outstanding quality.
  - Output ONLY the JSON below, no other text.

JSON schema:
{""subject_clarity"": ""integer 1-5"", ""composition"": ""integer 1-5"", ""technical"": ""integer 1-5"", ""aesthetic"": ""integer 1-5"", ""coherence"": ""integer 1-5""}

assistant
```json
{
  ""subject_clarity"": 5,
  ""composition"": 5,
  ""technical"": 5,
  ""aesthetic"": 5,
  ""coherence"": 5
}
```"
runs/2026-02-12_core40_k3_1024,gemini,bind_002,binding,2,runs/2026-02-12_core40_k3_1024/images/gemini/bind_002__s2.png,1.0,5,5,5,5,5,0,"r 5.
  - Be critical: reserve 5 for genuinely outstanding quality.
  - Output ONLY the JSON below, no other text.

JSON schema:
{""subject_clarity"": ""integer 1-5"", ""composition"": ""integer 1-5"", ""technical"": ""integer 1-5"", ""aesthetic"": ""integer 1-5"", ""coherence"": ""integer 1-5""}

assistant
```json
{
  ""subject_clarity"": 5,
  ""composition"": 5,
  ""technical"": 5,
  ""aesthetic"": 5,
  ""coherence"": 5
}
```"
runs/2026-02-12_core40_k3_1024,gemini,bind_002,binding,3,runs/2026-02-12_core40_k3_1024/images/gemini/bind_002__s3.png,1.0,5,5,5,5,5,0,"r 5.
  - Be critical: reserve 5 for genuinely outstanding quality.
  - Output ONLY the JSON below, no other text.

JSON schema:
{""subject_clarity"": ""integer 1-5"", ""composition"": ""integer 1-5"", ""technical"": ""integer 1-5"", ""aesthetic"": ""integer 1-5"", ""coherence"": ""integer 1-5""}

assistant
```json
{
  ""subject_clarity"": 5,
  ""composition"": 5,
  ""technical"": 5,
  ""aesthetic"": 5,
  ""coherence"": 5
}
```"
runs/2026-02-12_core40_k3_1024,gemini,bind_003,binding,1,runs/2026-02-12_core40_k3_1024/images/gemini/bind_003__s1.png,1.0,5,5,5,5,5,0,"r 5.
  - Be critical: reserve 5 for genuinely outstanding quality.
  - Output ONLY the JSON below, no other text.

JSON schema:
{""subject_clarity"": ""integer 1-5"", ""composition"": ""integer 1-5"", ""technical"": ""integer 1-5"", ""aesthetic"": ""integer 1-5"", ""coherence"": ""integer 1-5""}

assistant
```json
{
  ""subject_clarity"": 5,
  ""composition"": 5,
  ""technical"": 5,
  ""aesthetic"": 5,
  ""coherence"": 5
}
```"
runs/2026-02-12_core40_k3_1024,gemini,bind_003,binding,2,runs/2026-02-12_core40_k3_1024/images/gemini/bind_003__s2.png,1.0,5,5,5,5,5,0,"r 5.
  - Be critical: reserve 5 for genuinely outstanding quality.
  - Output ONLY the JSON below, no other text.

JSON schema:
{""subject_clarity"": ""integer 1-5"", ""composition"": ""integer 1-5"", ""technical"": ""integer 1-5"", ""aesthetic"": ""integer 1-5"", ""coherence"": ""integer 1-5""}

assistant
```json
{
  ""subject_clarity"": 5,
  ""composition"": 5,
  ""technical"": 5,
  ""aesthetic"": 5,
  ""coherence"": 5
}
```"
runs/2026-02-12_core40_k3_1024,gemini,bind_003,binding,3,runs/2026-02-12_core40_k3_1024/images/gemini/bind_003__s3.png,1.0,5,5,5,5,5,0,"r 5.
  - Be critical: reserve 5 for genuinely outstanding quality.
  - Output ONLY the JSON below, no other text.

JSON schema:
{""subject_clarity"": ""integer 1-5"", ""composition"": ""integer 1-5"", ""technical"": ""integer 1-5"", ""aesthetic"": ""integer 1-5"", ""coherence"": ""integer 1-5""}

assistant
```json
{
  ""subject_clarity"": 5,
  ""composition"": 5,
  ""technical"": 5,
  ""aesthetic"": 5,
  ""coherence"": 5
}
```"
runs/2026-02-12_core40_k3_1024,gemini,bind_004,binding,1,runs/2026-02-12_core40_k3_1024/images/gemini/bind_004__s1.png,1.0,5,5,5,5,5,0,"r 5.
  - Be critical: reserve 5 for genuinely outstanding quality.
  - Output ONLY the JSON below, no other text.

JSON schema:
{""subject_clarity"": ""integer 1-5"", ""composition"": ""integer 1-5"", ""technical"": ""integer 1-5"", ""aesthetic"": ""integer 1-5"", ""coherence"": ""integer 1-5""}

assistant
```json
{
  ""subject_clarity"": 5,
  ""composition"": 5,
  ""technical"": 5,
  ""aesthetic"": 5,
  ""coherence"": 5
}
```"
