prompt_id,sample,timestamp,run_dir,category,winner,left_model,right_model,blind,notes,annotator,faith_chatgpt,faith_gemini,qual_chatgpt,qual_gemini,faith_winner,qual_winner
bind_001,1,2026-02-28T13:58:46,runs/2026-02-12_core40_k3_1024,binding,tie,gemini,chatgpt,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_001,2,2026-02-28T14:03:39,runs/2026-02-12_core40_k3_1024,binding,tie,chatgpt,gemini,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_001,3,2026-02-28T14:08:17,runs/2026-02-12_core40_k3_1024,binding,tie,chatgpt,gemini,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_002,1,2026-02-28T13:58:54,runs/2026-02-12_core40_k3_1024,binding,gemini,gemini,chatgpt,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_002,2,2026-02-28T14:03:49,runs/2026-02-12_core40_k3_1024,binding,chatgpt,chatgpt,gemini,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_002,3,2026-02-28T14:08:28,runs/2026-02-12_core40_k3_1024,binding,gemini,gemini,chatgpt,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_003,1,2026-02-28T13:59:04,runs/2026-02-12_core40_k3_1024,binding,tie,chatgpt,gemini,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_003,2,2026-02-28T14:03:56,runs/2026-02-12_core40_k3_1024,binding,gemini,gemini,chatgpt,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_003,3,2026-02-28T14:08:34,runs/2026-02-12_core40_k3_1024,binding,gemini,chatgpt,gemini,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_004,1,2026-02-28T13:59:10,runs/2026-02-12_core40_k3_1024,binding,gemini,chatgpt,gemini,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_004,2,2026-02-28T14:04:03,runs/2026-02-12_core40_k3_1024,binding,chatgpt,gemini,chatgpt,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_004,3,2026-02-28T14:08:40,runs/2026-02-12_core40_k3_1024,binding,chatgpt,chatgpt,gemini,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_005,1,2026-02-28T13:59:24,runs/2026-02-12_core40_k3_1024,binding,gemini,gemini,chatgpt,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_005,2,2026-02-28T14:04:07,runs/2026-02-12_core40_k3_1024,binding,gemini,gemini,chatgpt,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_005,3,2026-02-28T14:08:43,runs/2026-02-12_core40_k3_1024,binding,gemini,gemini,chatgpt,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_006,1,2026-02-28T13:59:37,runs/2026-02-12_core40_k3_1024,binding,tie,gemini,chatgpt,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_006,2,2026-02-28T14:04:12,runs/2026-02-12_core40_k3_1024,binding,tie,gemini,chatgpt,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_006,3,2026-02-28T14:08:46,runs/2026-02-12_core40_k3_1024,binding,tie,gemini,chatgpt,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_007,1,2026-02-28T13:59:47,runs/2026-02-12_core40_k3_1024,binding,tie,chatgpt,gemini,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
bind_007,2,2026-02-28T14:04:18,runs/2026-02-12_core40_k3_1024,binding,chatgpt,chatgpt,gemini,0,,jackson,1.0,1.0,1.0,1.0,tie,tie
